Name,Number_of_Ratings,Rating,Longitude,Latitude,Category
صيدلية ليمون,18.0,4.1,46.6909465,24.7201443,pharmacies
صيدلية شفاء التيسير,8.0,4.5,46.5626185,24.5853361,pharmacies
صيدلية شركة شار الطبية,5.0,3.4,46.7006583,24.6754743,pharmacies
صيدلية انوفا,13.0,4.1,46.76821169999999,24.5619493,pharmacies
صيدلية النهدي,154.0,4.2,46.75443749999999,24.6176875,pharmacies
صيدلية مركز الدواء الطبية,7.0,5.0,46.7647384,24.5690489,pharmacies
Al Aboudi Pharmacy,80.0,4.1,46.7229875,24.6046663,pharmacies
صيدلية واحة التعافي,24.0,2.9,46.83291089999999,24.8183237,pharmacies
صيدلية نجم الدواء,14.0,4.3,46.7289064,24.5529955,pharmacies
صيدلية النهدي,404.0,4.1,46.652762,24.726965,pharmacies
صيدلية الخط الساخن الطبية,15.0,5.0,46.6929261,24.6174938,pharmacies
Al Shatea Pharmacy,21.0,3.9,46.7685475,24.6812495,pharmacies
صيدلية تاج الدواء,8.0,3.5,46.8122633,24.7749533,pharmacies
صيدلية الدواء,146.0,4.0,46.66394469999999,24.7795605,pharmacies
صيدلية موسم السرعة VIP,6.0,5.0,46.850689,24.8597359,pharmacies
صيدلية الفرائضي,10.0,3.6,46.679681,24.764083,pharmacies
صيدلية دقة الشفاء,8.0,4.0,46.5834543,24.5843118,pharmacies
Aljafel Pharmacy,25.0,2.4,46.60480949999999,24.5781892,pharmacies
صيدلية انوفا,47.0,3.4,46.5663343,24.6281117,pharmacies
BŪTOPIA PHARMACY صيدلية بيوتوبيا,15.0,4.2,46.804445,24.6718219,pharmacies
صيدلية ليمون,50.0,3.9,46.651637,24.721693,pharmacies
صيدلية الدواء,336.0,4.1,46.6888119,24.6905784,pharmacies
صيدلية الدواء,171.0,4.0,46.62006419999999,24.772583,pharmacies
صيدلية النهدي,33.0,4.2,46.5935265,24.8172909,pharmacies
صيدلية التفاحة الزرقاء,18.0,4.8,46.7826087,24.6677124,pharmacies
صيدلية المتحدة,41.0,3.4,46.6658351,24.6747324,pharmacies
صيدلية النهدي,47.0,4.2,46.6835737,24.8361493,pharmacies
صيدلية النهدي,12.0,3.8,46.6016431,24.7678292,pharmacies
صيدلية ساين Sign pharmacy,5.0,4.8,46.7572446,24.8067385,pharmacies
صيدلية آدم,39.0,3.8,46.7845808,24.8167799,pharmacies
صيدلية آدم,107.0,4.2,46.6432601,24.8618714,pharmacies
صيدلية روابي العلاج,14.0,3.9,46.691162,24.6300366,pharmacies
صيدلية موسوعة الدواء الطبية,10.0,3.7,46.6041901,24.6048169,pharmacies
صيدلية زهرة الروضة,22.0,3.8,46.6260714,24.8546847,pharmacies
صيدلية الشافي,10.0,3.4,46.6148276,24.8858956,pharmacies
صيدلية شمس,8.0,4.3,46.7929475,24.7723061,pharmacies
صيدلية زهرة الروضة,14.0,3.2,46.6916319,24.768393,pharmacies
صيدلية النهدي,125.0,4.5,46.66088,24.784348,pharmacies
greens pharmacy,14.0,4.1,46.6524216,24.5451705,pharmacies
صيدلية الدواء,119.0,4.2,46.771972,24.8047433,pharmacies
صيدلية الشافي,50.0,3.2,46.8307099,24.6889687,pharmacies
House of Wisdom Pharmacy,6.0,4.2,46.6966738,24.636482,pharmacies
صيدلية زهرة الروضة,14.0,3.9,46.8135954,24.7279492,pharmacies
صيدلية الجازع,15.0,4.0,46.6915625,24.6299375,pharmacies
صيدلية انوفا,30.0,3.3,46.80648650000001,24.7687898,pharmacies
Aster PharmacyQurtubah | صيدلية استرقرطبة,9.0,3.8,46.7372391,24.8348142,pharmacies
صيدلية الدواء,131.0,3.8,46.6561534,24.5830996,pharmacies
صيدلية النهدي,9.0,5.0,46.6907724,24.7207511,pharmacies
صيدلية اورنج,43.0,3.9,46.6335978,24.5764325,pharmacies
صيدلية وايتس,179.0,4.2,46.7834453,24.7356878,pharmacies
صيدلية دواء العاصمة,17.0,4.1,46.7283778,24.5523544,pharmacies
صيدلية انوفا,21.0,3.4,46.8156694,24.6812243,pharmacies
صيدلية الشافي,21.0,4.2,46.6443387,24.5893022,pharmacies
صيدلية الدواء,72.0,3.4,46.699056,24.57125,pharmacies
صيدلية بنذهبة البيطرية,17.0,3.9,46.7442375,24.5842472,pharmacies
Mohamed Pharmacy,8.0,4.9,46.7735129,24.5949739,pharmacies
صيدلية ليمون,38.0,3.8,46.75241690000001,24.8179621,pharmacies
صيدلية الدواء,193.0,4.3,46.6103642,24.814354,pharmacies
Massat al Dawa pharmacy,6.0,3.8,46.6202856,24.7981389,pharmacies
صيدلية الحكمة Al Hikma Pharmacy,36.0,3.8,46.80703219999999,24.6678782,pharmacies
صيدلية آدم,34.0,4.5,46.7930782,24.8137224,pharmacies
صيدلية د.سليمان الحبيب,147.0,3.7,46.6569641,24.7201944,pharmacies
صيدلية خبرة الحلال البيطرية,12.0,4.1,46.7522469,24.5837546,pharmacies
صيدلية رف الدواء,5.0,3.2,46.7169063,24.5434054,pharmacies
صيدلية ليمون,32.0,3.5,46.705541,24.6854633,pharmacies
صيدلية صقر الصحة,22.0,4.8,46.8329096,24.8183306,pharmacies
Valley pharmacy,19.0,4.9,46.6947319,24.7618253,pharmacies
صيدلية ليمون,13.0,2.8,46.7912194,24.8342316,pharmacies
صيدلية يوم الدواء,14.0,3.0,46.8381485,24.6882164,pharmacies
Green Health Pharmacy,17.0,4.4,46.7008068,24.6575058,pharmacies
صيدلية الدواء,76.0,3.9,46.8155694,24.7099977,pharmacies
صيدلية زائد واحد,5.0,4.2,46.74543569999999,24.6294994,pharmacies
صيدلية كنوز,112.0,4.2,46.5935815,24.6902765,pharmacies
صيدلية رحيق زهرة الروضة,18.0,3.2,46.8124494,24.6760903,pharmacies
